text,type
"Disease: {'disease_id': 'dis_01261', 'disease_name': 'Are Dysgraphia', 'description': 'Dysgraphia is a neurological disorder characterized by writing disabilities. Specifically, the disorder causes a person\'s writing to be distorted or incorrect. In children, the disorder generally emerges when they are first introduced to writing. They make inappropriately sized and spaced letters, or write wrong or misspelled words, despite thorough instruction. Children with the disorder may have other learning disabilities; however, they usually have no social or other academic problems. Cases of dysgraphia in adults generally occur after some trauma. In addition to poor handwriting, dysgraphia is characterized by wrong or odd spelling, and production of words that are not correct (i.e., using ""boy"" for ""child""). The cause of the disorder is unknown, but in adults, it is usually associated with damage to the parietal lobe of the brain.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01262', 'disease_name': 'Are Dyskeratosis Congenita', 'description': 'Dyskeratosis congenita is a disorder that can affect many parts of the body. There are three features that are characteristic of this disorder: fingernails and toenails that grow poorly or are abnormally shaped (nail dystrophy); changes in skin coloring (pigmentation), especially on the neck and chest, in a pattern often described as ""lacy""; and white patches inside the mouth (oral leukoplakia). People with dyskeratosis congenita have an increased risk of developing several life-threatening conditions. They are especially vulnerable to disorders that impair bone marrow function. These disorders disrupt the ability of the bone marrow to produce new blood cells. Affected individuals may develop aplastic anemia, also known as bone marrow failure, which occurs when the bone marrow does not produce enough new blood cells. They are also at higher than average risk for myelodysplastic syndrome, a condition in which immature blood cells fail to develop normally; this condition may progress to a form of blood cancer called leukemia. People with dyskeratosis congenita are also at increased risk of developing leukemia even if they never develop myelodysplastic syndrome. In addition, they have a higher than average risk of developing other cancers, especially cancers of the head, neck, anus, or genitals. People with dyskeratosis congenita may also develop pulmonary fibrosis, a condition that causes scar tissue (fibrosis) to build up in the lungs, decreasing the transport of oxygen into the bloodstream. Additional signs and symptoms that occur in some people with dyskeratosis congenita include eye abnormalities such as narrow tear ducts that may become blocked, preventing drainage of tears and leading to eyelid irritation; dental problems; hair loss or prematurely grey hair; low bone mineral density (osteoporosis); degeneration (avascular necrosis) of the hip and shoulder joints; or liver disease. Some affected males may have narrowing (stenosis) of the urethra, which is the tube that carries urine out of the body from the bladder. Urethral stenosis may lead to difficult or painful urination and urinary tract infections. The severity of dyskeratosis congenita varies widely among affected individuals. The least severely affected individuals have only a few mild physical features of the disorder and normal bone marrow function. More severely affected individuals have many of the characteristic physical features and experience bone marrow failure, cancer, or pulmonary fibrosis by early adulthood. While most people with dyskeratosis congenita have normal intelligence and development of motor skills such as standing and walking, developmental delay may occur in some severely affected individuals. In one severe form of the disorder called Hoyeraal Hreidaarsson syndrome, affected individuals have an unusually small and underdeveloped cerebellum, which is the part of the brain that coordinates movement. Another severe variant called Revesz syndrome involves abnormalities in the light-sensitive tissue at the back of the eye (retina) in addition to the other symptoms of dyskeratosis congenita.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01263', 'disease_name': 'Are Dyslexia', 'description': ""Dyslexia is a brain-based type of learning disability that specifically impairs a person's ability to read. These individuals typically read at levels significantly lower than expected despite having normal intelligence. Although the disorder varies from person to person, common characteristics among people with dyslexia are difficulty with phonological processing (the manipulation of sounds), spelling, and/or rapid visual-verbal responding. In individuals with adult onset of dyslexia, it usually occurs as a result of brain injury or in the context of dementia; this contrasts with individuals with dyslexia who simply were never identified as children or adolescents. Dyslexia can be inherited in some families, and recent studies have identified a number of genes that may predispose an individual to developing dyslexia."", 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01264', 'disease_name': 'Are Dyssynergia Cerebellaris Myoclonica', 'description': 'Dyssynergia Cerebellaris Myoclonica refers to a collection of rare, degenerative, neurological disorders characterized by epilepsy, cognitive impairment, myoclonus, and progressive ataxia. Symptoms include seizures, tremor, and reduced muscle coordination. Onset of the disorder generally occurs in early adulthood. Tremor may begin in one extremity and later spread to involve the entire voluntary muscular system. Arms are usually more affected than legs. Some of the cases are due to mitochondrial abnormalities.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01265', 'disease_name': 'Are Dystonia', 'description': 'Dystonia is a movement disorder that causes involuntary contractions of your muscles. These contractions result in twisting and repetitive movements. Sometimes they are painful. Dystonia can affect just one muscle, a group of muscles or all of your muscles. Symptoms can include tremors, voice problems or a dragging foot. Symptoms often start in childhood. They can also start in the late teens or early adulthood. Some cases worsen over time. Others are mild. Some people inherit dystonia. Others have it because of another disease. Researchers think that dystonia may be due to a problem in the part of the brain that handles messages about muscle contractions. There is no cure. Doctors use medicines, Botox injections, surgery, physical therapy, and other treatments to reduce or eliminate muscle spasms and pain. NIH: National Institute of Neurological Disorders and Stroke', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01266', 'disease_name': 'Are Dystonia 6', 'description': 'Dystonia 6 is one of many forms of dystonia, which is a group of conditions characterized by involuntary movements, twisting (torsion) and tensing of various muscles, and unusual positioning of affected body parts. Dystonia 6 can appear at any age from childhood through adulthood; the average age of onset is 18. The signs and symptoms of dystonia 6 vary among affected individuals. The disorder usually first impacts muscles of the head and neck, causing problems with speaking (dysarthria) and eating (dysphagia). Eyelid twitching (blepharospasm) may also occur. Involvement of one or more limbs is common, and in some cases occurs before the head and neck problems. Dystonia 6 gradually gets worse, and it may eventually involve most of the body.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01267', 'disease_name': 'Are Dystonia 8', 'description': 'Paroxysmal nonkinesigenic dyskinesia is a disorder of the nervous system that causes periods of involuntary movement. Common symptoms include 1 to 4 hour long episodes of irregular, jerking or shaking movements, prolonged contraction of muscles, chorea, and/or writhing movements of the limb. The movements may have no known trigger or be brought on by alcohol, caffeine, stress, fatigue, menses, or excitement. The familial form is caused by mutations in the PNKD gene and is inherited in an autosomal dominant pattern.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01268', 'disease_name': 'Are Dystonias', 'description': 'The dystonias are movement disorders in which sustained muscle contractions cause twisting and repetitive movements or abnormal postures. The movements, which are involuntary and sometimes painful, may affect a single muscle; a group of muscles such as those in the arms, legs, or neck; or the entire body. Early symptoms may include deterioration in handwriting, foot cramps, or a dragging foot after running or walking some distance. Other possible symptoms are tremor and voice or speech difficulties. About half the cases of dystonia have no connection to disease or injury and are called primary or idiopathic dystonia. Of the primary dystonias, many cases appear to be inherited. Dystonias can also be symptoms of other diseases, some of which may be hereditary. Dystonia can occur at any age, but is often described as either early, or childhood, onset versus adult onset.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01269', 'disease_name': 'Are Dystrophic Epidermolysis Bullosa', 'description': 'Epidermolysis bullosa is a group of genetic conditions that cause the skin to be very fragile and to blister easily. Blisters and skin erosions form in response to minor injury or friction, such as rubbing or scratching. Dystrophic epidermolysis bullosa (DEB) is one of the major forms of epidermolysis bullosa. The signs and symptoms of this condition vary widely among affected individuals. In mild cases, blistering may primarily affect the hands, feet, knees, and elbows. Severe cases of this condition involve widespread blistering that can lead to vision loss, disfigurement, and other serious medical problems. Researchers classify dystrophic epidermolysis bullosa into three major types. Although the types differ in severity, their features overlap significantly and they are caused by mutations in the same gene. Autosomal recessive dystrophic epidermolysis bullosa, Hallopeau-Siemens type (RDEB-HS) is the most severe, classic form of the condition. Affected infants are typically born with widespread blistering and areas of missing skin, often caused by trauma during birth. Most often, blisters are present over the whole body and affect mucous membranes such as the moist lining of the mouth and digestive tract. As the blisters heal, they result in severe scarring. Scarring in the mouth and esophagus can make it difficult to chew and swallow food, leading to chronic malnutrition and slow growth. Additional complications of progressive scarring can include fusion of the fingers and toes, loss of fingernails and toenails, joint deformities (contractures) that restrict movement, and eye inflammation leading to vision loss. Additionally, young adults with the classic form of dystrophic epidermolysis bullosa have a very high risk of developing a form of skin cancer called squamous cell carcinoma, which tends to be unusually aggressive and is often life-threatening. A second type of autosomal recessive dystrophic epidermolysis bullosa is known as the non-Hallopeau-Siemens type (non-HS RDEB). This form of the condition is somewhat less severe than the classic type and includes a range of subtypes. Blistering is limited to the hands, feet, knees, and elbows in mild cases, but may be widespread in more severe cases. Affected people often have malformed fingernails and toenails. Non-HS RDEB involves scarring in the areas where blisters occur, but this form of the condition does not cause the severe scarring characteristic of the classic type. The third major type of dystrophic epidermolysis bullosa is known as the autosomal dominant type (DDEB). The signs and symptoms of this condition tend to be milder than those of the autosomal recessive forms, with blistering often limited to the hands, feet, knees, and elbows. The blisters heal with scarring, but it is less severe. Most affected people have malformed fingernails and toenails, and the nails may be lost over time. In the mildest cases, abnormal nails are the only sign of the condition.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01270', 'disease_name': 'Are E Coli Infections', 'description': ""E. coli is the name of a type of bacteria that lives in your intestines. Most types of E. coli are harmless. However, some types can make you sick and cause diarrhea. One type causes travelers' diarrhea. The worst type of E. coli causes bloody diarrhea, and can sometimes cause kidney failure and even death. These problems are most likely to occur in children and in adults with weak immune systems. You can get E. coli infections by eating foods containing the bacteria. Symptoms of infection include - Nausea or vomiting - Severe abdominal cramps - Watery or very bloody diarrhea - Fatigue - Fever To help avoid food poisoning and prevent infection, handle food safely. Cook meat well, wash fruits and vegetables before eating or cooking them, and avoid unpasteurized milk and juices. You can also get the infection by swallowing water in a swimming pool contaminated with human waste. Most cases of E. coli infection get better without treatment in 5 to 10 days. NIH: National Institute of Allergy and Infectious Diseases"", 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01271', 'disease_name': 'Are Eales Disease', 'description': 'Eales disease is a rare vision disorder that appears as an inflammation and white haze around the outercoat of the veins in the retina. This condition is most common among young males and normally affects both eyes. In most cases, vision becomes suddenly blurred because the vitreous, the clear jelly that fills the eyeball behind the lens of the eye, seeps out. Treatment includes corticosteroids in the inflammation stage and photocoagulation in the proliferative stage of the disease. Visual prognosis is good if treatment begins early in the course of the disease.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01272', 'disease_name': 'Are Ear Disorders', 'description': ""Your ear has three main parts: outer, middle and inner. You use all of them in hearing. Sound waves come in through your outer ear. They reach your middle ear, where they make your eardrum vibrate. The vibrations are transmitted through three tiny bones, called ossicles, in your middle ear. The vibrations travel to your inner ear, a snail-shaped organ. The inner ear makes the nerve impulses that are sent to the brain. Your brain recognizes them as sounds. The inner ear also controls balance. A variety of conditions may affect your hearing or balance: - Ear infections are the most common illness in infants and young children. - Tinnitus, a roaring in your ears, can be the result of loud noises, medicines or a variety of other causes. - Meniere's disease may be the result of fluid problems in your inner ear; its symptoms include tinnitus and dizziness. - Ear barotrauma is an injury to your ear because of changes in barometric (air) or water pressure. Some ear disorders can result in hearing disorders and deafness."", 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01273', 'disease_name': 'Are Ear Infections', 'description': 'Ear infections are the most common reason parents bring their child to a doctor. Three out of four children will have at least one ear infection by their third birthday. Adults can also get ear infections, but they are less common. The infection usually affects the middle ear and is called otitis media. The tubes inside the ears become clogged with fluid and mucus. This can affect hearing, because sound cannot get through all that fluid. If your child isn\'t old enough to say ""My ear hurts,"" here are a few things to look for - Tugging at ears - Crying more than usual - Fluid draining from the ear - Trouble sleeping - Balance difficulties - Hearing problems Your health care provider will diagnose an ear infection by looking inside the ear with an instrument called an otoscope. Often, ear infections go away on their own. Your health care provider may recommend pain relievers. Severe infections and infections in young babies may require antibiotics. Children who get infections often may need surgery to place small tubes inside their ears. The tubes relieve pressure in the ears so that the child can hear again. NIH: National Institute on Deafness and Other Communication Disorders', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01274', 'disease_name': 'Are Early Infantile Epileptic Encephalopathy', 'description': 'Ohtahara syndrome is a neurological disorder characterized by seizures. The disorder affects newborns, usually within the first three months of life (most often within the first 10 days) in the form of epileptic seizures. Infants have primarily tonic seizures (which cause stiffening of muscles of the body, generally those in the back, legs, and arms), but may also experience partial seizures, and rarely, myoclonic seizures (which cause jerks or twitches of the upper body, arms, or legs). Ohtahara syndrome is most commonly caused by metabolic disorders or structural damage in the brain, although the cause or causes for many cases cant be determined. Most infants with the disorder show significant underdevelopment of part or all of the cerebral hemispheres. The EEGs of infants with Ohtahara syndrome reveal a characteristic pattern of high voltage spike wave discharge followed by little activity. This pattern is known as burst suppression. The seizures associated with Ohtahara syndrome are difficult to treat and the syndrome is severely progressive. Some children with this condition go on to develop other epileptic disorders such as West syndrome and Lennox-Gestaut syndrome.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01275', 'disease_name': 'Are Early Infantile Epileptic Encephalopathy 4', 'description': 'Early infantile epileptic encephalopathy 4 (EIEE4) is a form of early infantile epileptic encephalopathy, which refers to a group of neurological conditions characterized by severe seizures beginning in infancy. EIEE4, specifically, is often associated with partial complex or tonic-clonic seizures, although other seizure types have been reported. Other signs and symptoms may include intellectual disability, reduced muscle tone (hypotonia), hypsarrhythmia (an irregular pattern seen on EEG), dyskinesia (involuntary movement of the body), and spastic di- or quadriplegia. EIEE4 is caused by changes (mutations) in the STXBP1 gene and is inherited in an autosomal dominant manner. Treatment is based on the signs and symptoms present in each person. For example, certain medications are often prescribed to help control seizures, although they are not always effective in all people with the condition.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01276', 'disease_name': 'Are Early Onset Autosomal Dominant Alzheimer Disease', 'description': 'Early-onset, autosomal dominant Alzheimer disease is a form of Alzheimer disease (AD) that develops before the age of 65. In general, AD is a degenerative disease of the brain that causes gradual loss of memory, judgement, and the ability to function socially. The early-onset, autosomal dominant form of AD is caused by changes (mutations) one of three different genes: APP, PSEN1, and PSEN2. The condition is inherited in an autosomal dominant manner. There is no cure for AD. Treatment is supportive and based on the signs and symptoms present in each person.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01277', 'disease_name': 'Are Early Onset Glaucoma', 'description': 'Glaucoma is a group of eye disorders in which the optic nerves connecting the eyes and the brain are progressively damaged. This damage can lead to reduction in side (peripheral) vision and eventual blindness. Other signs and symptoms may include bulging eyes, excessive tearing, and abnormal sensitivity to light (photophobia). The term ""early-onset glaucoma"" may be used when the disorder appears before the age of 40. In most people with glaucoma, the damage to the optic nerves is caused by increased pressure within the eyes (intraocular pressure). Intraocular pressure depends on a balance between fluid entering and leaving the eyes. Usually glaucoma develops in older adults, in whom the risk of developing the disorder may be affected by a variety of medical conditions including high blood pressure (hypertension) and diabetes mellitus, as well as family history. The risk of early-onset glaucoma depends mainly on heredity. Structural abnormalities that impede fluid drainage in the eye may be present at birth and usually become apparent during the first year of life. Such abnormalities may be part of a genetic disorder that affects many body systems, called a syndrome. If glaucoma appears before the age of 5 without other associated abnormalities, it is called primary congenital glaucoma. Other individuals experience early onset of primary open-angle glaucoma, the most common adult form of glaucoma. If primary open-angle glaucoma develops during childhood or early adulthood, it is called juvenile open-angle glaucoma.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01278', 'disease_name': 'Are Early Onset Primary Dystonia', 'description': ""Early-onset primary dystonia is a condition characterized by progressive problems with movement, typically beginning in childhood. Dystonia is a movement disorder that involves involuntary tensing of the muscles (muscle contractions), twisting of specific body parts such as an arm or a leg, rhythmic shaking (tremors), and other uncontrolled movements. A primary dystonia is one that occurs without other neurological symptoms, such as seizures or a loss of intellectual function (dementia). Early-onset primary dystonia does not affect a person's intelligence. On average, the signs and symptoms of early-onset primary dystonia appear around age 12. Abnormal muscle spasms in an arm or a leg are usually the first sign. These unusual movements initially occur while a person is doing a specific action, such as writing or walking. In some affected people, dystonia later spreads to other parts of the body and may occur at rest. The abnormal movements persist throughout life, but they do not usually cause pain. The signs and symptoms of early-onset primary dystonia vary from person to person, even among affected members of the same family. The mildest cases affect only a single part of the body, causing isolated problems such as a writer's cramp in the hand. Severe cases involve abnormal movements affecting many regions of the body."", 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01279', 'disease_name': 'Are Earthquakes', 'description': 'An earthquake happens when two blocks of the earth suddenly slip past one another. Earthquakes strike suddenly, violently, and without warning at any time of the day or night. If an earthquake occurs in a populated area, it may cause property damage, injuries, and even deaths. If you live in a coastal area, there is the possibility of a tsunami. Damage from earthquakes can also lead to floods or fires. Although there are no guarantees of safety during an earthquake, you can take actions to protect yourself. You should have a disaster plan. Being prepared can help reduce fear, anxiety, and losses. If you do experience a disaster, it is normal to feel stressed. You may need help in finding ways to cope. Federal Emergency Management Agency', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01280', 'disease_name': 'Are Eating Disorders', 'description': ""Eating disorders are serious behavior problems. They can include severe overeating or not consuming enough food to stay healthy. They also involve extreme concern about your shape or weight. Types of eating disorders include - Anorexia nervosa, in which you become too thin, but you don't eat enough because you think you are fat - Bulimia nervosa, which involves periods of overeating followed by purging, sometimes through self-induced vomiting or using laxatives - Binge-eating, which is out-of-control eating Women are more likely than men to have eating disorders. They usually start in the teenage years and often occur along with depression, anxiety disorders, and substance abuse. Eating disorders can lead to heart and kidney problems and even death. Getting help early is important. Treatment involves monitoring, talk therapy, nutritional counseling, and sometimes medicines. NIH: National Institute of Mental Health"", 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01281', 'disease_name': 'Are Ebstein S Anomaly', 'description': ""Ebstein's anomaly is a rare heart defect in which parts of the tricuspid valve (which separates the right ventricle from the right atrium) are abnormal. The abnormality causes the tricuspid valve to leak blood backwards into the right atrium. The backup of blood flow can lead to heart swelling and fluid buildup in the lungs or liver. Sometimes, not enough blood gets out of the heart into the lungs and the person may appear blue. Symptoms range from mild to very severe. Treatment depends on the severity of the defect and may include medications, oxygen therapy, or surgery."", 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01282', 'disease_name': 'Are Ectopic Kidney', 'description': 'An ectopic kidney is a birth defect in which a kidney is located below, above, or on the opposite side of its usual position. About one in 900 people has an ectopic kidney.1', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01283', 'disease_name': 'Are Ectopic Pregnancy', 'description': ""The uterus, or womb, is the place where a baby grows when a woman is pregnant. If you have an ectopic pregnancy, the fertilized egg grows in the wrong place, outside the uterus, usually in the fallopian tubes. The result is usually a miscarriage. Ectopic pregnancy can be a medical emergency if it ruptures. Signs of ectopic pregnancy include - Abdominal pain - Shoulder pain - Vaginal bleeding - Feeling dizzy or faint Get medical care right away if you have these signs. Doctors use drugs or surgery to remove the ectopic tissue so it doesn't damage your organs. Many women who have had ectopic pregnancies go on to have healthy pregnancies later. Dept. of Health and Human Services Office on Women's Health"", 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01284', 'disease_name': 'Are Eczema', 'description': 'Eczema is a term for several different types of skin swelling. Eczema is also called dermatitis. Most types cause dry, itchy skin and rashes on the face, inside the elbows and behind the knees, and on the hands and feet. Scratching the skin can cause it to turn red, and to swell and itch even more. Eczema is not contagious. The cause is not known. It is likely caused by both genetic and environmental factors. Eczema may get better or worse over time, but it is often a long-lasting disease. People who have it may also develop hay fever and asthma. The most common type of eczema is atopic dermatitis. It is most common in babies and children but adults can have it too. As children who have atopic dermatitis grow older, this problem may get better or go away. But sometimes the skin may stay dry and get irritated easily. Treatments may include medicines, skin creams, light therapy, and good skin care. You can prevent some types of eczema by avoiding - Things that irritate your skin, such as certain soaps, fabrics, and lotions - Stress - Things you are allergic to, such as food, pollen, and animals NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01285', 'disease_name': 'Are Edema', 'description': ""Edema means swelling caused by fluid in your body's tissues. It usually occurs in the feet, ankles and legs, but it can involve your entire body. Causes of edema include - Eating too much salt - Sunburn - Heart failure - Kidney disease - Liver problems from cirrhosis - Pregnancy - Problems with lymph nodes, especially after mastectomy - Some medicines - Standing or walking a lot when the weather is warm To keep swelling down, your health care provider may recommend keeping your legs raised when sitting, wearing support stockings, limiting how much salt you eat, or taking a medicine called a diuretic - also called a water pill."", 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01286', 'disease_name': 'Are Eec Syndrome', 'description': 'EEC syndrome (Ectrodactyly-Ectodermal Dysplasia-Cleft Lip/Palate) is a rare form of ectodermal dysplasia. The symptoms can vary from mild to severe and most commonly include missing or irregular fingers and/or toes (ectrodactyly or split hand/foot malformation); abnormalities of the hair and glands; cleft lip and/or palate; distinctive facial features; and abnormalities of the eyes and urinary tract. EEC syndrome can be divided into two different types defined by the underlying cause. More than 90% of individuals have EEC syndrome type 3 (EEC3), caused by mutations in the TP63 gene. The of individuals with EEC syndrome are thought to have a mutation in a region on chromosome 7, known as EEC syndrome type 1 (EEC1). EEC syndrome is inherited in an autosomal dominant manner. Management typically requires evaluation by various specialists. Treatment varies depending on the signs and symptoms present in the affected individual.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01287', 'disease_name': 'Are Ehlers Danlos Syndrome', 'description': 'Ehlers-Danlos syndrome (EDS) is a group of inherited disorders that weaken connective tissues. Connective tissues are proteins that support skin, bones, blood vessels, and other organs. EDS usually affects your skin, joints and blood vessel walls. Symptoms include - Loose joints - Fragile, small blood vessels - Abnormal scar formation and wound healing - Soft, velvety, stretchy skin that bruises easily There are several types of EDS. They can range from mild to life-threatening. About 1 in 5,000 people has EDS. There is no cure. Treatment involves managing symptoms, often with medicines and physical therapy. It also includes learning how to protect your joints and prevent injuries.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01288', 'disease_name': 'Are Ehlers Danlos Syndrome Dermatosparaxis Type', 'description': 'Ehlers-Danlos syndrome (EDS), dermatosparaxis type is an inherited connective tissue disorder that is caused by defects in a protein called collagen. Common symptoms include soft, doughy skin that is extremely fragile; saggy, redundant skin, especially on the face; hernias; and mild to severe joint hypermobility. EDS, dermatosparaxis type is caused by changes (mutations) in the ADAMTS2 gene and is inherited in an autosomal recessive manner. Treatment and management is focused on preventing serious complications and relieving associated signs and symptoms.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01289', 'disease_name': 'Are Ehlers Danlos Syndrome Kyphoscoliosis Type', 'description': 'Ehlers-Danlos syndrome (EDS), kyphoscoliosis type is an inherited connective tissue disorder that is caused by defects in a protein called collagen. Common signs and symptoms include hyperextensible skin that is fragile and bruises easily; joint hypermobility; severe hypotonia at birth; progressive kyphoscoliosis (kyphosis and scoliosis); and fragility of the sclera. EDS, kyphoscoliosis type is caused by changes (mutations) in the PLOD1 gene and is inherited in an autosomal recessive manner. Treatment is focused on preventing serious complications and relieving associated signs and symptoms.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01290', 'disease_name': 'Are Ehlers Danlos Syndrome Progeroid Type', 'description': 'Ehlers-Danlos syndrome progeroid type is a genetic disorder of the connective tissue, which is the material between the cells of the body that gives tissues form and strength. The disorder primarily affects the skin, hair, and skeletal system. Symptoms usually show up by childhood or adolescence. Like people with other types of Ehlers-Danlos syndrome, individuals with the progeroid form have unusually flexible joints, loose elastic skin, and easy scarring. Features that are unique to this type include sparse scalp hair and eyebrows, and loose elastic skin on the face; these features cause affected individuals to look older than their age. Additional symptoms may include bone weakness, weak muscle tone, mild intellectual disability, and delayed growth in affected children. The progeroid type of Ehlers-Danlos syndrome is caused by mutations in the B4GALT7 gene and is inherited in an autosomal recessive pattern.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01291', 'disease_name': 'Are Ehlers Danlos Syndrome Vascular Type', 'description': 'Ehlers-Danlos syndrome (EDS), vascular type is an inherited connective tissue disorder that is caused by defects in a protein called collagen. It is generally considered the most severe form of Ehlers-Danlos syndrome. Common symptoms include thin, translucent skin; easy bruising; characteristic facial appearance; and fragile arteries, muscles and internal organs. EDS, vascular type is caused by changes (mutations) in the COL3A1 gene and is inherited in an autosomal dominant manner. Treatment and management is focused on preventing serious complications and relieving associated signs and symptoms.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_01292', 'disease_name': 'Are Ehrlichiosis', 'description': 'More detailed information on the diagnosis, management, and treatment of ehrlichiosis is available in Diagnosis and Management of Tickborne Rickettsial Diseases: Rocky Mountain Spotted Fever, Ehrlichioses, and Anaplasmosis – United States. *Case definitions have been updated since publication How to Contact the Rickettsial Zoonoses Branch at CDC The general public and healthcare providers should first call 1-800-CDC-INFO (1-800-232-4636) for questions regarding ehrlichiosis. If a consultation with a CDC scientist specializing in ehrlichiosis is advised, your call will be appropriately forwarded. Case Definitions As of January 1, 2008, E. chaffeensis and E. ewingii infections are reported under distinct reporting categories. 2008 Case Definition Case Report Forms For confirmed and probable cases of ehrlichiosis that have been identified and reported through the National Notifiable Disease Surveillance System, states are also encouraged to submit additional information using the CDC Case Report Form (CRF). This form collects additional important information that routine electronic reporting does not, such as information on how the diagnosis was made, and whether the patient was hospitalized or died. If a different state-specific form is already used to collect this information, this information may be submitted to CDC in lieu of a CRF. 2010 CDC Case Report Form: Tickborne Rickettsial Diseases (2010 version) (PDF – 982kb; 3 pages) How to Submit Specimens to CDC for Ehrlichiosis Testing Private citizens may not directly submit specimens to CDC for testing. If you feel that diagnostic testing is necessary, consult your healthcare provider or state health department. State Health Departments: Specimens may be submitted to CDC for testing for ehrlichiosis. To coordinate specimen submission, please call 404-639-1075 during business hours (8:00 - 4:30 ET). U.S. Healthcare Providers: U.S. healthcare providers should not submit specimens for testing directly to CDC. CDC policy requires that specimens for testing be submitted through or with the approval of the state health department. Please contact your state health department, who will assist you with specimen submission and reporting of infection. For general questions about ehrlichiosis, please call 1-800-CDC-INFO (1-800-232-4636). If you have questions about a suspect ehrlichiosis case, please first consult your state health department. Healthcare providers requiring an epidemiologic or laboratory consultation on ehrlichiosis may also call 404-639-1075 during business hours (8:00 - 4:30 ET). Or 770-488-7100 after hours. Non U.S. Healthcare Providers: Non-U.S. healthcare providers should consult CDC prior to submitting specimens for testing. For general questions about ehrlichiosis, please call 1-800-CDC-INFO (1-800-232-4636). If you would like to discuss a suspect ehrlichiosis case with CDC, please call 404-639-1075 during business hours (8:00 - 4:30 ET), or 770-488-7100 after hours.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
